Abalos Colles,76.83,288.35,235830.00,3396200.00,AA
Abalos Mensa,81.17,284.40,129180.00,3396200.00,AA
Abalos Scopuli,80.72,283.44,109160.00,3396200.00,AA
Abalos Undae,78.52,272.50,442740.00,3396200.00,AA
Aban,15.91,111.10,4280.00,3396200.00,AA
Abus Vallis,-5.49,212.80,60990.00,3396200.00,ME
Achar,45.43,123.16,5360.00,3396200.00,AA
Acheron Catena,37.47,259.20,421770.00,3396200.00,AA
Acheron Fossae,38.27,224.98,703110.00,3396200.00,ME
Acidalia Colles,50.34,336.91,356300.00,3396200.00,AA
Acidalia Mensa,46.69,334.66,226860.00,3396200.00,AA
Acidalia Planitia,49.76,339.26,3362970.00,3396200.00,ME
Ada,-3.06,356.78,2090.00,3396200.00,AA
Adamas Labyrinthus,35.70,105.12,853000.00,3396200.00,AA
Adams,30.91,163.10,90220.00,3396200.00,AA
Aeolis,-4.94,145.00,0.00,3396200.00,AA
Aeolis Dorsa,-5.05,152.63,459170.00,3396200.00,AA
Aeolis Mensae,-3.25,140.63,785090.00,3396200.00,AA
Aeolis Mons,-5.08,137.85,88990.00,3396200.00,MO
Aeolis Palus,-4.47,137.42,111630.00,3396200.00,AA
Aeolis Planum,-1.14,144.76,852810.00,3396200.00,ME
Aeolis Serpens,-1.38,149.57,538550.00,3396200.00,AA
Aeria,9.88,50.00,0.00,3396200.00,AA
Aesacus Dorsum,36.82,153.15,276690.00,3396200.00,AA
Aetheria,39.67,130.00,0.00,3396200.00,AA
Aethiopis,9.88,130.00,0.00,3396200.00,AA
Aganippe Fossa,-8.49,234.00,537160.00,3396200.00,AA
Agassiz,-69.88,271.11,108770.00,3396200.00,AA
Airy,-5.14,0.05,43050.00,3396200.00,AA
Airy-0,-5.07,0.00,790.00,3396200.00,AA
Ajon,16.49,103.14,8080.00,3396200.00,AA
Aki,-35.46,299.76,7870.00,3396200.00,AA
Aktaj,20.41,313.51,5010.00,3396200.00,AA
Alamos,23.48,322.88,6440.00,3396200.00,AA
Alba Catena,35.04,245.42,144860.00,3396200.00,AA
Alba Fossae,49.39,253.18,2072020.00,3396200.00,ME
Alba Mons,41.08,249.29,548020.00,3396200.00,MO
Albany,22.96,310.98,2150.00,3396200.00,AA
Alba Patera,39.53,250.82,65980.00,3396200.00,AA
Albi,-41.47,324.99,9070.00,3396200.00,AA
Albor Fossae,18.09,150.78,155000.00,3396200.00,ME
Albor Tholus,18.87,150.47,158380.00,3396200.00,AA
Alexey Tolstoy,-47.44,125.34,93040.00,3396200.00,AA
Alga,-24.34,333.32,18720.00,3396200.00,AA
Alitus,-34.91,321.86,50000.00,3396200.00,AA
Allegheny Vallis,-9.01,306.10,171080.00,3396200.00,ME
Alpheus Colles,-39.38,61.53,633030.00,3396200.00,AA
Al-Qahira Vallis,-18.23,162.41,600000.00,3396200.00,ME
Amazonis,0.00,220.00,0.00,3396200.00,AA
Amazonis Mensa,-1.98,213.10,414040.00,3396200.00,AA
Amazonis Planitia,25.75,197.09,2809040.00,3396200.00,ME
Amazonis Sulci,-2.15,216.29,250590.00,3396200.00,AA
Amenthes,4.94,110.00,0.00,3396200.00,AA
Amenthes Cavi,16.23,114.52,1330500.00,3396200.00,AA
Amenthes Fossae,9.07,102.68,850000.00,3396200.00,ME
Amenthes Planum,3.40,105.92,0.00,3396200.00,ME
Amenthes Rupes,1.51,110.68,335250.00,3396200.00,AA
[Amet],23.45,302.60,0.00,3396200.00,AA
[Ammonii Rupes],-6.52,175.80,100000.00,3396200.00,AA
Amphitrites Patera,-58.70,60.87,129800.00,3396200.00,AA
